"Sector","Size","All_skills"
"Data Analysis","Small","computer science, engineering, excel, finance, mathematics, matlab, optimization, physics, programming, r, requirements, sas, solutions, statistics, artificial intelligence, c, computer science, data science, databases, end, engineering, machine learning, mathematics, next, perl, programming, python, r, relational databases, requirements, scripting, solid, sql , analytics, bi, collaboration, cross, design, metrics, modeling, quality, regression, sql , statistics, tableau, acquisition, administration, apache, big data, computer science, configure, data analysis, data flow, documentation, hadoop, hive, java, mapreduce, operations, python, quality, requirements, spark,  administration, unix, agile development, computer science, data analysis, database, databases, documentation, reporting, requirements, technology, consulting, data integration, end, integration, project, ai, architecture, aws, data structures, engineering, etl, hadoop, machine learning, maintenance, monitoring, mysql, performance, postgresql, rdbms, s3, software engineering, spark, sql , storage,  architecture, systems, training, , business intelligence, data analysis, data quality, delivery, economics, excel, leadership, mathematics, quality, sales, sql , statistics, support, tableau, automation, computer science, data science, machine learning, mathematics, programming, python, r, scripting, statistics, architecture, big data, cassandra, computer science, databases, design, engineering, etl, hadoop, hbase, hive, integration, kafka, machine learning, management, mapreduce, mongodb, monitoring, nosql, performance, policies, production, solutions, spark, storm,  architecture, systems, technical, excel, microsoft excel, computer science, database, design, mysql, postgresql, production, r, statistics, tableau, technical, user experience, analytics, architecture, aws, big data, business requirements, cassandra, computer science, database, databases, delivery, design, java, kafka, linux, management, manual, nosql, programming, python, r, requirements, scala, scalability, spark, sql , storage, storm, support,  architecture, systems, technical, transformation, analytics, computer science, economics, engineering, excel, mathematics, presentation, python, requirements, sql , technology, analytics, automated, big data, computer science, dashboard, data analysis, data collection, engineering, etl, git, hive, insurance, machine learning, mathematics, medical, metrics, modeling, mongodb, mysql, performance, physics, postgresql, python, rdbms, reporting, spark, sql , statistics, automation, c, computer science, engineering, finance, java, machine learning, mathematics, matlab, object, oop, optimization, perl, physics, programming, r, reporting, requirements, sas, solid, sql , statistics, delivery, focus, insurance, medical, project, quality, requirements, solutions, database, detail, sales, bi, big data, data analysis, framework, programming, python, r, sql , analytics, computer science, cross, detail, ecommerce, economics, engineering, excel, mathematics, metrics, performance, python, requirements, sales, sql , support, technology, dashboard, detail, excel, information technology, management, powerpoint, requirements, statistics, technology, word, analytics, automated, bi, business intelligence, data visualization, data warehouse, database, detail, insurance, management, materials, monitoring, mysql, postgresql, relational database, sql , tableau, training, visualization, c, management, operations, project, reporting, requirements, solutions, apache, apache spark, aws, azure, best practices, collaboration, data structures, database, databases, hadoop, hive, java, kafka, linux, performance, programming, protocols, python, rdbms, requirements, s3, scala, spark, sql , support, systems, technical, technical support, training, ai, architecture, business intelligence, cassandra, computer science, data collection, data warehouse, engineering, etl, hadoop, insurance, java, kafka, libraries, machine learning, maintenance, mathematics, modeling, mongodb, next, programming, python, quality, requirements, saas, solutions, spark,  architecture, systems, technology, aws, azure, engineering, java, javascript, linux, nosql, programming, python, scala, sql , agile development, computer science, data analysis, database, databases, documentation, reporting, requirements, technology, computer science, engineering, excel, finance, mathematics, matlab, optimization, physics, programming, r, requirements, sas, solutions, statistics, detail, excel, presentation, requirements, analytics, computer science, decision support, detail, engineering, machine learning, mathematics, optimization, performance, production, python, quality, r, solutions, statistics, support, systems, , business intelligence, data analysis, data quality, delivery, economics, excel, leadership, mathematics, quality, sales, sql , statistics, support, tableau, ai, architecture, aws, data structures, engineering, etl, hadoop, machine learning, maintenance, monitoring, mysql, performance, postgresql, rdbms, s3, software engineering, spark, sql , storage,  architecture, systems, training, adobe, analytics, cross, dashboard, data analysis, design, detail, excel, management, microsoft excel, optimization, performance, powerpoint, quality, requirements, social media, web , analytics, computer science, economics, engineering, excel, mathematics, presentation, python, requirements, sql , technology, computer science, database, design, mysql, postgresql, production, r, statistics, tableau, technical, user experience, analytics, bi, collaboration, cross, design, metrics, modeling, quality, regression, sql , statistics, tableau, excel, microsoft excel, ai, architecture, business intelligence, cassandra, computer science, data collection, data warehouse, engineering, etl, hadoop, insurance, java, kafka, libraries, machine learning, maintenance, mathematics, modeling, mongodb, next, programming, python, quality, requirements, saas, solutions, spark,  architecture, systems, technology, aws, bi, big data, c, computer science, databases, ec2, etl, hadoop, java, kafka, management, mysql, nosql, object, postgresql, python, scala, scripting, server, spark, sql , ssis, statistics, storm, systems, tableau, workflow, dashboard, detail, excel, information technology, management, powerpoint, requirements, statistics, technology, word, automation, c, computer science, engineering, finance, java, machine learning, mathematics, matlab, object, oop, optimization, perl, physics, programming, r, reporting, requirements, sas, solid, sql , statistics, bi, business intelligence, power bi, computer science, detail, ecommerce, economics, engineering, excel, mathematics, python, requirements, sql , technology, delivery, focus, insurance, medical, project, quality, requirements, solutions, analytics, automated, bi, business intelligence, data visualization, data warehouse, database, detail, insurance, management, materials, monitoring, mysql, postgresql, relational database, sql , tableau, training, visualization, architecture, big data, cassandra, computer science, databases, design, engineering, etl, hadoop, hbase, hive, integration, kafka, machine learning, management, mapreduce, mongodb, monitoring, nosql, performance, policies, production, solutions, spark, storm,  architecture, systems, technical, c, management, operations, project, reporting, requirements, solutions, automation, computer science, data science, machine learning, mathematics, programming, python, r, scripting, statistics, acquisition, analytics, budget, computer science, distribution, ecommerce, economics, engineering, excel, mathematics, metrics, monitoring, optimization, performance, python, reporting, requirements, sales, sql , support, apache, apache spark, aws, azure, best practices, collaboration, data structures, database, databases, hadoop, hive, java, kafka, linux, performance, programming, protocols, python, rdbms, requirements, s3, scala, spark, sql , support, systems, technical, technical support, training"
"Finance","Large","analytics, automation, computer science, data management, data mining, data science, data visualization, end, firewalls, focus, governance, machine learning, malware, management, metrics, physics, programming, python, r, reporting, sas, scala, security, spark, sql , statistics, support, tableau, technical, technical support, technology, visualization, web , administration, analytics, asset management, distribution, end, financial services, insurance, management, net, operations, payments, performance, presentation, solutions, strategy, support,  administration, big data, collaboration, design, excel, hadoop, machine learning, microsoft office, modeling, optimization, powerpoint, presentation, r, regression, sas, solid, sql , data analysis, design, modeling, solutions, systems, analytics, ar, c, cross, data science, engineering, excel, financial services, mathematics, performance, physics, sql , strategy, architecture, big data, computer science, data management, data mining, data warehouse, database, engineering, etl, hadoop, information technology, management, project, statistics,  architecture, technology, data analysis, design, modeling, solutions, systems, analytics, automation, computer science, data management, data mining, data science, data visualization, end, firewalls, focus, governance, machine learning, malware, management, metrics, physics, programming, python, r, reporting, sas, scala, security, spark, sql , statistics, support, tableau, technical, technical support, technology, visualization, web , analytics, big data, computer science, data mining, database, hadoop, hive, information technology, java, kafka, modeling, monitoring, oracle, programming, r, sas, solutions, spark, sql , statistics, systems, technology, architecture, big data, computer science, data management, data mining, data warehouse, database, engineering, etl, hadoop, information technology, management, project, statistics,  architecture, technology, bi, excel, finance, java, management, oracle, sql , strategy, tableau, xml, analytics, ar, c, cross, data science, engineering, excel, financial services, mathematics, performance, physics, sql , strategy"
"Finance","Small","bi, data visualization, delivery, detail, distribution, excel, financial services, power bi, reporting, tableau, technology, visualization, analytics, big data, business objects, data mining, databases, framework, hadoop, hive, machine learning, mathematics, modeling, mysql, network, networks, optimization, performance, product development, python, r, regression, simulation, spark, sql , statistics, , , apache, apache spark, aws, azure, design, git, graphics, linux, machine learning, microsoft sql server, mysql, postgresql, programming, python, r, reporting, server, shell, solid, spark, sql , windows, analytics, big data, business objects, data mining, databases, framework, hadoop, hive, machine learning, mathematics, modeling, mysql, network, networks, optimization, performance, product development, python, r, regression, simulation, spark, sql , statistics, , big data, data integration, data warehouse, insurance, integration, mobile , project, quality, solutions, ssis, transformation, analytics, big data, business objects, clarity, computer science, data integration, data mining, data quality, database, databases, design, engineering, framework, hadoop, hive, information technology, integration, java, machine learning, modeling, mysql, network, networks, optimization, performance, product development, python, quality, r, regression, reporting, simulation, software engineering, spark, sql , statistics, support, technical, technology, , bi, data visualization, delivery, detail, distribution, excel, financial services, power bi, reporting, tableau, technology, visualization"
"Information Technology","Large","amazon web services, analytics, apache, apache spark, architecture, aws, bi, big data, cassandra, computer science, consulting, databases, delivery, ec2, engineering, hadoop, ibm, java, machine learning, mariadb, migration, mongodb, nosql, open source, oracle, postgresql, power bi, project, python, r, requirements, roadmaps, s3, sales, sap, solutions, spark, sql , storage, support,  architecture, tableau, technical, technology, training, web , amazon web services, analytics, apache, apache spark, architecture, aws, bi, big data, cassandra, computer science, consulting, databases, delivery, ec2, engineering, hadoop, ibm, java, machine learning, mariadb, migration, mongodb, nosql, open source, oracle, postgresql, power bi, project, python, r, requirements, roadmaps, s3, sales, sap, solutions, spark, sql , storage, support,  architecture, tableau, technical, technology, training, web "
"Information Technology","Medium Large","analytics, data manipulation, data visualization, engineering, excel, monitoring, operations, python, r, reporting, solid, sql , statistics, technical, technology, visualization, ansible, automated, aws, azure, bi, big data, cd, ci, data analysis, data science, data visualization, data warehouse, database, databases, ecommerce, end, engineering, etl, git, jenkins, jira, linux, logistics, machine learning, management, mongodb, mysql, optimization, performance, postgresql, power bi, production, project, project management, python, quality, r, rdbms, relational database, reporting, requirements, retail, scrum, sql , support, systems, tableau, visualization, workflow, analytics, continuous improvement, data analysis, data mining, leadership, libraries, machine learning, management, metrics, optimization, organizational, performance, programming, python, r, regression, requirements, statistics, systems, technology, agile development, analytics, architecture, aws, azure, best practices, big data, business intelligence, change management, computer science, data science, data warehouse, design, documentation, engineering, etl, hadoop, java, kafka, management, mathematics, metrics, nosql, optimization, performance, programming, protocols, python, scala, scalability, solutions, spark, sql , support,  architecture, systems, technical, analytics, data manipulation, data visualization, engineering, excel, monitoring, operations, python, r, reporting, solid, sql , statistics, technical, technology, visualization, ansible, automated, aws, azure, bi, big data, cd, ci, data analysis, data science, data visualization, data warehouse, database, databases, ecommerce, end, engineering, etl, git, jenkins, jira, linux, logistics, machine learning, management, mongodb, mysql, optimization, performance, postgresql, power bi, production, project, project management, python, quality, r, rdbms, relational database, reporting, requirements, retail, scrum, sql , support, systems, tableau, visualization, workflow, analytics, continuous improvement, data analysis, data mining, leadership, libraries, machine learning, management, metrics, optimization, organizational, performance, programming, python, r, regression, requirements, statistics, systems, technology, agile development, analytics, architecture, aws, azure, best practices, big data, business intelligence, change management, computer science, data science, data warehouse, design, documentation, engineering, etl, hadoop, java, kafka, management, mathematics, metrics, nosql, optimization, performance, programming, protocols, python, scala, scalability, solutions, spark, sql , support,  architecture, systems, technical"
"Information Technology","Medium Small","ai, cross, data manipulation, design, engineering, http, insurance, iterative, machine learning, medical, metrics, performance, production, programming, python, quality, retail, spark, sql , sql queries, technical, technology, validation, analytics, dashboard, data collection, data quality, database, design, etl, metrics, performance, python, quality, requirements, spark, sql , support, systems, act, analytics, apache, api, apis, aws, azure, business intelligence, cd, ci, data collection, database, economics, engineering, etl, excel, healthcare, json, kafka, management, mathematics, mysql, network, networks, performance, python, reporting, requirements, rest, s3, solutions, sql , statistics, support, systems, technical, technology, apis, data analysis, data mining, economics, engineering, excel, healthcare, management, mathematics, microsoft office, network, next, powerpoint, presentation, python, rest, sql , statistics, support, systems, technical, technology, apache, apache spark, architecture, aws, big data, design, devops, framework, hadoop, healthcare, java, json, management, medical, node, performance, quality, requirements, spark,  architecture, technical, training, via, analytics, data analysis, data science, detail, documentation, excel, healthcare, programming, python, quality, reporting, sql , strategy, support, systems, transformation, analytics, apis, articulate, data collection, data mining, databases, economics, engineering, excel, hadoop, healthcare, hive, jira, management, mathematics, metrics, microsoft office, operations, powerpoint, presentation, project, project management, python, quality, r, rest, spark, sql , statistics, support, systems, technical, ai, cross, data manipulation, design, engineering, http, insurance, iterative, machine learning, medical, metrics, performance, production, programming, python, quality, retail, spark, sql , sql queries, technical, technology, validation, analytics, dashboard, data collection, data quality, database, design, etl, metrics, performance, python, quality, requirements, spark, sql , support, systems, act, analytics, apache, api, apis, aws, azure, business intelligence, cd, ci, data collection, database, economics, engineering, etl, excel, healthcare, json, kafka, management, mathematics, mysql, network, networks, performance, python, reporting, requirements, rest, s3, solutions, sql , statistics, support, systems, technical, technology, apache, apache spark, architecture, aws, big data, design, devops, framework, hadoop, healthcare, java, json, management, medical, node, performance, quality, requirements, spark,  architecture, technical, training, via, analytics, data analysis, data science, detail, documentation, excel, healthcare, programming, python, quality, reporting, sql , strategy, support, systems, transformation, apis, data analysis, data mining, economics, engineering, excel, healthcare, management, mathematics, microsoft office, network, next, powerpoint, presentation, python, rest, sql , statistics, support, systems, technical, technology"
"Information Technology","Small","analytics, excel, metrics, python, r, reporting, retail, sas, sql , statistics, technology, analytics, data analysis, data mining, data science, data visualization, etl, finance, hive, leadership, libraries, management, mysql, pmo, programming, python, quality, r, retail, sales, solutions, spark, sql , statistics, teradata, transformation, visualization, automation, big data, governance, hadoop, hbase, java, kafka, libraries, machine learning, mapreduce, metrics, nosql, olap, performance, project, python, regression, sales, solutions, spark, storage, systems, technical, technology, ai, artificial intelligence, c, computer science, machine learning, networks, programming, python, statistics, technical, technology, via, ai, analytics, apache, application development, automation, azure, best practices, bi, collaboration, data visualization, deployment, devops, end, engineering, iaas, internet, iot, machine learning, management, migration, paas, power bi, python, server, solutions, sql , stack, technical, technology, transformation, visualization, analytics, excel, metrics, python, r, reporting, retail, sas, sql , statistics, technology, analytics, data analysis, data mining, data science, data visualization, etl, finance, hive, leadership, libraries, management, mysql, pmo, programming, python, quality, r, retail, sales, solutions, spark, sql , statistics, teradata, transformation, visualization, ai, artificial intelligence, c, computer science, machine learning, networks, programming, python, statistics, technical, technology, via, ai, analytics, apache, application development, automation, azure, best practices, bi, collaboration, data visualization, deployment, devops, end, engineering, iaas, internet, iot, machine learning, management, migration, paas, power bi, python, server, solutions, sql , stack, technical, technology, transformation, visualization"
"Insurance","Large","administration, analytics, asset management, c, insurance, management, solid, solutions, support,  administration, technical, transformation, , administration, analytics, asset management, c, insurance, management, solid, solutions, support,  administration, technical, transformation, "
"Manufacturing","Large","act, engineering, java, management, next, pmi, quality, quality assurance, technical, validation, act, engineering, java, management, next, pmi, quality, quality assurance, technical, validation"
"Manufacturing","Small","aws, bi, business intelligence, data warehouse, design, end, engineering, etl, git, github, information technology, java, power bi, programming, python, r, rest, systems, tableau, technology"
"Non-Profit","Medium Small","analytics, budget, collaboration, creativity, cross, economics, framework, http, ios, management, modeling, network, next, nexus, organizational, policies, presentation, programming, project, quality, reporting, solutions, strategy, support, synthesis, systems, technical, analytics, budget, collaboration, creativity, cross, economics, framework, http, ios, management, modeling, network, next, nexus, organizational, policies, presentation, programming, project, quality, reporting, solutions, strategy, support, synthesis, systems, technical"
"Retail","Large","ansible, automated, aws, azure, bi, big data, cd, ci, data analysis, data science, data visualization, data warehouse, database, databases, ecommerce, end, engineering, etl, git, jenkins, jira, linux, logistics, machine learning, management, mongodb, mysql, optimization, performance, postgresql, power bi, production, project, project management, python, quality, r, rdbms, relational database, reporting, requirements, retail, scrum, sql , support, systems, tableau, visualization, workflow, ansible, automated, aws, azure, bi, big data, cd, ci, data analysis, data science, data visualization, data warehouse, database, databases, ecommerce, end, engineering, etl, git, jenkins, jira, linux, logistics, machine learning, management, mongodb, mysql, optimization, performance, postgresql, power bi, production, project, project management, python, quality, r, rdbms, relational database, reporting, requirements, retail, scrum, sql , support, systems, tableau, visualization, workflow"
"Telecommunications","Large","analytics, big data, business intelligence, business objects, collaboration, data mining, design, documentation, embedded, graphics, hadoop, leadership, machine learning, management, mobile , network, next, performance, pl, programming, python, r, reporting, server, solid, solutions, spark, sql , systems, tableau, technology, transformation"
"Telecommunications","Medium Small","accounting, analytics, bi, cross, data structures, finance, modeling, performance, power bi, sql , tableau, technical, word, analytics, excel, financial services, information technology, requirements, technology, computer science, data warehouse, engineering, etl, kafka, programming, python, requirements, scala, sql , analytics, excel, financial services, information technology, requirements, technology, computer science, data warehouse, engineering, etl, kafka, programming, python, requirements, scala, sql "
"Transportation & Logistics","Medium Large","analytics, architecture, automated, business intelligence, data architecture, data mining, data science, data security, data visualization, database, database design, delivery, design, detail, etl, performance, presentation, python, requirements, security, simulation,  architecture, tableau, visualization, analytics, data science, data visualization, detail, python, solutions, sql , support, swift, tableau, technical, user experience, visualization, analytics, best practices, business operations, data analysis, data visualization, design, detail, framework, machine learning, operations, python, r, sql , statistics, swift, technical, visualization, web , acquisition, analytics, automated, data visualization, delivery, design, etl, project, python, simulation, solutions, sql , statistics, support, tableau, visualization, analytics, architecture, automated, business intelligence, data architecture, data mining, data science, data security, data visualization, database, database design, delivery, design, detail, etl, performance, presentation, python, requirements, security, simulation,  architecture, tableau, visualization, analytics, data science, data visualization, detail, python, solutions, sql , support, swift, tableau, technical, user experience, visualization, analytics, best practices, business operations, data analysis, data visualization, design, detail, framework, machine learning, operations, python, r, sql , statistics, swift, technical, visualization, web , acquisition, analytics, automated, data visualization, delivery, design, etl, project, python, simulation, solutions, sql , statistics, support, tableau, visualization"
"Transportation & Logistics","Small","dashboard, excel, information technology, logistics, sql , statistics, tableau, technology, dashboard, excel, information technology, logistics, sql , statistics, tableau, technology"
"Travel & Tourism","Small","ai, analytics, automated, business intelligence, collaboration, cross, data quality, database, design, engineering, iterative, machine learning, performance, production, python, quality, solutions, systems, technical, validation, ai, analytics, automated, business intelligence, collaboration, cross, data quality, database, design, engineering, iterative, machine learning, performance, production, python, quality, solutions, systems, technical, validation"
