search_title,similar_titles,similar_skills
Backup+Administrator,"[Server Administrator, Storage Administrator, Storage Engineer, SAP Basis Administrator, SQL Server DBA, SQL DBA, Contract Administrator, Systems Administrator, Hadoop Administrator, IT Administrator]","[Oracle RMAN, DBA, NetBackup, Disaster recovery, Database mirroring]"
Big+Data+Engineer,"[Big Data Developer, Big Data Architect, Big Data Consultant, Big Data Lead, Hadoop Architect, Data Engineer, Hadoop Consultant, Data Scientist, Hadoop Developer, Data Architect]","[Apache Hadoop, Apache Hive, Apache Spark, Scala, Apache HBase]"
Big+Data+Jobs,"[Big Data Developer, Big Data Architect, Big Data Consultant, Big Data Lead, Hadoop Architect, Data Engineer, Hadoop Consultant, Data Scientist, Hadoop Developer, Data Architect]","[Apache Hadoop, Apache Hive, Apache Spark, Scala, Apache HBase]"
Business+Analyst,"[Business Analyst, IT Business Analyst, Salesforce Business Analyst, Technical Business Analyst, Lead Business Analyst, SAP Business Analyst, Healthcare Business Analyst, Business Data Analyst, Business Systems Consultant, Business Process Analyst]","[Systems analysis, Requirements elicitation, Functional requirements, User stories, Use cases]"
Business+Analyst+Intern,"[Business Analyst, IT Business Analyst, Salesforce Business Analyst, Technical Business Analyst, Lead Business Analyst, SAP Business Analyst, Healthcare Business Analyst, Business Data Analyst, Business Systems Consultant, Business Process Analyst]","[Systems analysis, Requirements elicitation, Functional requirements, User stories, Use cases]"
Business+Continuity+Analyst,"[Business Analyst, Lead Business Analyst, Business Development Manager, IT Business Analyst, Salesforce Business Analyst, Technical Business Analyst, Business Consultant, Business Data Analyst, Business Process Analyst, Business Development]","[Business continuity planning, Disaster recovery, Hardening, IT security audit, MIMIX]"
Business+Continuity+Jobs,"[Business Analyst, Lead Business Analyst, Business Development Manager, IT Business Analyst, Salesforce Business Analyst, Technical Business Analyst, Business Consultant, Business Data Analyst, Business Process Analyst, Business Development]","[Business continuity planning, Disaster recovery, Hardening, IT security audit, MIMIX]"
Business+Continuity+Manager,"[Business Analyst, Lead Business Analyst, Business Development Manager, IT Business Analyst, Salesforce Business Analyst, Technical Business Analyst, Business Consultant, Business Data Analyst, Business Process Analyst, Business Development]","[Business continuity planning, Disaster recovery, Hardening, IT security audit, MIMIX]"
Business+Intelligence+Analyst,"[BI Developer, BI Analyst, BI Consultant, BI Architect, SQL BI Developer, BI Manager, BI Lead, MSBI Developer, Report Developer, OBIEE Developer]","[Data warehouse, Data architecture, Data integration, Data marts, Data modeling]"
Business+Intelligence+Developer,"[BI Developer, BI Analyst, BI Consultant, BI Architect, SQL BI Developer, BI Manager, BI Lead, MSBI Developer, Report Developer, OBIEE Developer]","[Data warehouse, Data architecture, Data integration, Data marts, Data modeling]"
Business+Intelligence+Jobs,"[BI Developer, BI Analyst, BI Consultant, BI Architect, SQL BI Developer, BI Manager, BI Lead, MSBI Developer, Report Developer, OBIEE Developer]","[Data warehouse, Data architecture, Data integration, Data marts, Data modeling]"
Business+Intelligence+Manager,"[BI Developer, BI Analyst, BI Consultant, BI Architect, SQL BI Developer, BI Manager, BI Lead, MSBI Developer, Report Developer, OBIEE Developer]","[Data warehouse, Data architecture, Data integration, Data marts, Data modeling]"
Business+Systems+Analyst,"[Business Analyst, IT Business Analyst, Salesforce Business Analyst, Technical Business Analyst, Lead Business Analyst, SAP Business Analyst, Healthcare Business Analyst, Business Data Analyst, Business Systems Consultant, Business Process Analyst]","[Systems analysis, Requirements elicitation, Functional requirements, User stories, Use cases]"
Business+Systems+Manager,"[Business Systems Consultant, Business Analyst, Lead Business Analyst, IT Business Analyst, Systems Specialist, SAP Business Analyst, Systems Analyst, Salesforce Business Analyst, Systems Administrator, Systems Architect]","[Business process, Systems analysis, Process reengineering, Business analysis, Functional requirements]"
Cerner+Analyst,"[Program Director, Report Writer, Integration Analyst, Application Analyst, Integration Architect, Interface Engineer, Teacher, Training Specialist, Application Specialist, Billing Analyst]","[CCL, Ambulatory care, Soarian, MEDITECH, McKesson]"
Cerner+Jobs,"[Program Director, Report Writer, Integration Analyst, Application Analyst, Integration Architect, Interface Engineer, Teacher, Training Specialist, Application Specialist, Billing Analyst]","[CCL, Ambulatory care, Soarian, MEDITECH, McKesson]"
Chief+Analytics+Officer,"[Analytics Manager, Data Scientist, Web Analyst, Digital Marketing, BI Analyst, Data Analyst, BI Manager, Marketing Analyst, Director, Data Engineer]","[Data analysis, Dashboard, Tableau, Strategy, Web analytics]"
Chief+Data+Officer,,
Chief+Informatics+Officer,"[IT Director, Program Director, Software Development, Healthcare Business Analyst, Unity Developer, BI Developer, Research Analyst, Principal Developer, Analytics Manager, Data Analyst]","[Gmail, Epic, STE, Health information management, CDC]"
Chief+Information+Security+Officer,"[Security Project Manager, ISSO, Cybersecurity Analyst, Security Architect, Cybersecurity Manager, Cybersecurity Architect, Security Consultant, CIO, Splunk Developer, Incident Manager]","[Information security, SIEM, CISM, CISSP, CISA]"
Chief+Technical+Officer,"[CTO, IT Director, CIO, Director Engineering, Director, Director Software Development, Software Development, IT Manager, Network Manager, Infrastructure Manager]","[IT Director, CIO, Director Infrastructure, COO, C-level]"
Chief+Technologist,"[Compliance Manager, Scientist, CTO, Digital Marketing, Marketing Automation Manager, SharePoint Architect, Software Development, Application Systems Engineer, AD Engineer, Tableau Developer]","[Banking software, Google Maps API, FACS, Microsoft Windows NT, UPS]"
Chief+Technology+Officer,"[CTO, IT Director, CIO, Director Engineering, Director, Director Software Development, Software Development, IT Manager, Network Manager, Infrastructure Manager]","[IT Director, CIO, Director Infrastructure, COO, C-level]"
CIO,"[CIO, ISSO, IT Director, CTO, Executive Assistant, Contract Administrator, Engagement Manager, Contracts Manager, Director Software Development, Technical Delivery Manager]","[IT Director, CTO, CFO, IT, IT governance]"
CISSP,"[ISSO, Cybersecurity Manager, Cybersecurity Engineer, Cybersecurity Specialist, Security Engineer, Cybersecurity Architect, Cybersecurity Analyst, Security Architect, Security Analyst, IT Security Analyst]","[CISA, Certified Ethical Hacker, Information security, Information security management, eMASS]"
Client+Server+Programmer,"[Software Development, Software Development Manager, Director Software Development, Software Development Lead, Software Development Project Manager, Developer III, Developer II, Developer I, Software Sales, Director]","[Software engineering, Software design, Software architecture, SDLC, Computer science]"
Clinical+Application+Manager,"[Application Manager, Software Architect, Software Development Manager, Software Systems Engineer, Software Sales, Software Quality Engineer, Management Consultant, Management Analyst, Director Software Development, Software Development Lead]","[Application Manager, Mobile Software Manager, Software development management, Software Manager, Staff augmentation]"
Clinical+Systems+Analyst,"[Systems Analyst, Computer Systems Analyst, Systems Administrator, Systems Engineer, Systems Architect, Linux System Administrator, Software Systems Engineer, Systems Integration, Systems Specialist, Linux System Engineer]","[Business analysis, Systems design, Software analysis, Requirements elicitation, Functional requirements]"
CMS+Expert,"[Sitecore Developer, Content Strategist, Technical Account Manager, Web Administrator, Drupal Developer, IT Trainer, Technology Architect, AEM Developer, Web Developer, PHP Web Developer]","[Drupal, Content management systems, Sitecore, WordPress, Ektron]"
COBOL+Jobs,"[Cobol Programer, Mainframe Developer, AS400 Developer, Application Analyst, Technical Specialist, DB2 DBA, IT Developer, Developer, Application Developer, Project Lead]","[JCL, CICS, IBM mainframe, IBM DB2, VSAM]"
COBOL+Programmer,"[Cobol Programer, Mainframe Developer, AS400 Developer, Application Analyst, Technical Specialist, DB2 DBA, IT Developer, Developer, Application Developer, Project Lead]","[JCL, CICS, IBM mainframe, IBM DB2, VSAM]"
Communications+Engineer,"[Engineering Manager, Director Engineering, Engineering Technician, Engineer, DevOps Engineer, Service Engineer, Mechanical Design Engineer, Infrastructure Engineer, Solutions Engineer, Platform Engineer]","[Engineer, Email, Verification and validation, Compliance, QA]"
Computer+Forensics+Analyst,"[Computer Operator, Computer Vision Engineer, Computer Systems Analyst, Computer Support Technician, Cybersecurity Analyst, Scientist, SOC Analyst, Security Analyst, Integration Analyst, Technical Support Specialist]","[Forensic Toolkit, EnCase, Mobile device forensics, Network forensics, Forensics]"
Computer+Forensics+Jobs,"[Computer Operator, Computer Vision Engineer, Computer Systems Analyst, Computer Support Technician, Cybersecurity Analyst, Scientist, SOC Analyst, Security Analyst, Integration Analyst, Technical Support Specialist]","[Forensic Toolkit, EnCase, Mobile device forensics, Network forensics, Forensics]"
Computer+Hardware+Engineer,"[Engineering Manager, Director Engineering, Engineering Technician, Engineer, DevOps Engineer, Service Engineer, Mechanical Design Engineer, Infrastructure Engineer, Solutions Engineer, Platform Engineer]","[Engineer, Email, Verification and validation, Compliance, QA]"
Computer+Information+Systems+Jobs,"[Computer Operator, Computer Vision Engineer, Computer Systems Analyst, Computer Support Technician, Scientist, Desktop Support Analyst, Field Service Technician I, Field Service Technician, Technical Support Analyst, Field Service Technician II]","[Supervision, Education, Documentation, Technical support, Research]"
Computer+Networking+Instructor,"[Training Specialist, Teacher, Instructional Designer, IT Trainer, Technical Trainer, Change Management Lead, Compliance Specialist, Program Coordinator, Change Manager, Agile Coach]","[Education, Customer service, Business requirements, Communication skills, Leadership]"
Computer+Science+Intern,"[Computer Operator, Computer Vision Engineer, Computer Systems Analyst, Computer Support Technician, Scientist, Application Specialist, IT Specialist, Technical Support Specialist, Integration Analyst, Operations Analyst]","[Software development, OOP, Java, Agile, Software engineering]"
Computer+Scientist,"[Computer Operator, Computer Vision Engineer, Computer Systems Analyst, Computer Support Technician, Scientist, Application Specialist, IT Specialist, Technical Support Specialist, Integration Analyst, Operations Analyst]","[Software development, OOP, Java, Agile, Software engineering]"
Computer+Technician,"[Desktop Support Analyst, Desktop Support, Technical Support Analyst, Application Support Analyst, Support Analyst, Technical Support, Technical Support Engineer, Desktop Support Technician, PC Technician, Application Support]","[Service desk, Help desk, 1st Line Support, 2nd Line Support, Remote support]"
CRM+Consultant,"[Business Consultant, IT Consultant, Technology Consultant, Consultant, Management Consultant, QA Consultant, Functional Consultant, NetSuite Consultant, Principal Consultant, Implementation Consultant]","[Recruitment, Leadership, IT, Business requirements, Communication skills]"
Cryptographer,,
Cyber+Security+Jobs,"[Cybersecurity Engineer, Cybersecurity Analyst, Cybersecurity Specialist, Cybersecurity Consultant, Cybersecurity Architect, Cybersecurity Manager, Security Engineer, Security Analyst, ISSO, Security Specialist]","[Threat analysis, Information security, CISSP, Certified Ethical Hacker, Security engineering]"
Data+Analyst,"[Data Analyst, Business Data Analyst, Data Reporting Analyst, Data Programer, Data Quality Analyst, Data Scientist, Data Modeler, Data Specialist, Data Architect, Data Engineer]","[Data profiling, Data wrangling, Data modeling, Data cleansing, Data engineering]"
Data+Architect,"[Data Architect, Data Modeler, Big Data Architect, Datawarehouse Architect, Information Architect, BI Architect, Database Architect, ETL Architect, Hadoop Architect, Data Quality Analyst]","[Data modeling, ERwin, ETL, ETL architecture, Data governance]"
Data+Assistant,,
Data+Center+Jobs,"[Datacenter Technician, Datacenter Engineer, Data Analyst, Data Architect, Data Modeler, Data Scientist, Data Engineer, Big Data Developer, Big Data Architect, Business Data Analyst]","[Data center design, Cisco, WAN, Cisco Certifications, Network design]"
Data+Center+Manager,"[Datacenter Technician, Datacenter Engineer, Operations Technician, IT Administrator, Infrastructure PM, Systems Administrator, VMware Administrator, Operations Manager, Network Architect, Infrastructure Architect]","[Datacenter Manager, Datacenter Technician, Data centers, Storage virtualization, Blade servers]"
Data+Collector,,
Data+Coordinator,,
Data+Management+Engineer,"[Engineering Manager, Director Engineering, Engineering Technician, Engineer, DevOps Engineer, Service Engineer, Mechanical Design Engineer, Infrastructure Engineer, Solutions Engineer, Platform Engineer]","[Engineer, Email, Verification and validation, Compliance, QA]"
Data+Manager,"[Management Consultant, Data Manager, Data Architect, Data Analyst, Data Modeler, Management Analyst, Data Specialist, Data Engineer, Change Management Analyst, Data Quality Analyst]","[ETL, Data analysis, Data cleansing, Data modeling, Data governance]"
Data+Migration+Lead,"[Project Manager, Program Manager, IT Project Manager, Product Manager, Technical Project Manager, Account Manager, QA Manager, Infrastructure Project Manager, Software Development Manager, Operations Manager]","[Consulting, Business requirements, Email, QA, Recruitment]"
Data+Operations+Manager,"[Operations Manager, Operations Analyst, Operations Specialist, Operations Technician, Management Consultant, Management Analyst, Change Management Analyst, Change Management Lead, Change Management Consultant, SOC Analyst]","[Network operations, Service level management, Change management, Availability management, IT management]"
Data+Processing+Jobs,"[Data Engineer, Data Analyst, Big Data Developer, Data Architect, Data Scientist, Data Modeler, Big Data Architect, Business Data Analyst, Big Data Lead, Data Programer]","[Apache Avro, Weka, Apache HBase, Apache Flume, Data engineering]"
Data+Processor,,
Data+Reporting+Analyst,"[Reporting Analyst, Data Reporting Analyst, Report Developer, Report Writer, Cognos Developer, Crystal Reports Developer, BI Analyst, BI Developer, Business Objects Developer, MicroStrategy Developer]","[Microsoft Excel, Documentation, Communication skills, Business requirements, Metrics]"
Data+Scientist,"[Data Scientist, Machine Learning Engineer, Data Engineer, Big Data Architect, Statistician, Big Data Developer, Scientist, Data Analyst, Data Manager, Big Data Consultant]","[Machine learning, Artificial intelligence, Data mining, Predictive modelling, Statistical models]"
Data+Steward,"[Data Analyst, Data Manager, Data Quality Analyst, Data Architect, Data Modeler, Data Scientist, Data Engineer, Big Data Developer, Business Data Analyst, Big Data Architect]","[Data governance, SAP BODS, SAP MDG, Informatica Data Quality, Data profiling]"
Data+Warehouse+Jobs,"[Datawarehouse Developer, Datawarehouse Architect, DW Analyst, ETL Developer, BI Architect, BI Developer, ETL Architect, Data Architect, Data Modeler, ETL Lead]","[Business intelligence, Data warehouse architecture, Dimensional modeling, Data modeling, ETL]"
Database+Administrator,"[DBA, SQL DBA, Oracle DBA, SQL Server DBA, PostgreSQL DBA, DB2 DBA, Oracle Apps DBA, MySQL DBA, Sybase DBA, Cassandra DBA]","[SQL, PL/SQL, Transact-SQL, Stored procedures, Database architecture]"
Database+Analyst,"[Database Analyst, Database Developer, Database Architect, SQL Database Developer, Oracle Database Developer, PostgreSQL DBA, DBA, Software Systems Engineer, SQL DBA, SQL Server DBA]","[Microsoft SQL Server Enterprise Manager, FP&A, Shareplex, DBA, Microsoft SSRS]"
Database+Developer,"[Database Developer, Database Architect, SQL Database Developer, Database Analyst, Oracle Database Developer, DBA, SQL DBA, Oracle DBA, SQL Server DBA, DB2 DBA]","[Database design, Database architecture, Data modeling, DBA, Database security]"
Database+Jobs,"[Database Developer, Database Architect, SQL Database Developer, Database Analyst, Oracle Database Developer, DBA, SQL DBA, Oracle DBA, SQL Server DBA, DB2 DBA]","[Database design, Database architecture, Data modeling, DBA, Database security]"
DB2+DBA,"[DB2 DBA, DBA, FileNet Developer, SQL Server DBA, Developer, AS400 Developer, Mainframe Developer, Database Analyst, Consultant, Application Administrator]","[DB2 DBA, z/OS, IBM DB2, IBM OMEGAMON, UDB]"
DBA+Manager,"[DBA, SQL DBA, Oracle DBA, SQL Server DBA, PostgreSQL DBA, DB2 DBA, Oracle Apps DBA, MySQL DBA, Sybase DBA, Cassandra DBA]","[SQL, PL/SQL, Transact-SQL, Stored procedures, Database architecture]"
Decision+Support+Analyst,"[Support Analyst, Desktop Support, Support Engineer, Desktop Support Technician, Application Support, Scientist, Technical Support, PC Technician, Application Support Analyst, Desktop Support Analyst]","[Clinical data analysis, Multivariate analysis, CPOE, Epidemiology, CPLEX]"
Decision+Support+Manager,"[Support Analyst, Desktop Support, Support Engineer, Desktop Support Technician, Application Support, Scientist, Technical Support, PC Technician, Application Support Analyst, Desktop Support Analyst]","[Clinical data analysis, Multivariate analysis, CPOE, Epidemiology, CPLEX]"
Delivery+Architect,"[Architect, Java Architect, Solution Architect, Salesforce Architect, .Net Architect, Lead Architect, Big Data Architect, Enterprise Architect, UI Architect, SharePoint Architect]","[Architect, Implementation, Software architecture, Software design, Integration]"
Designer+Writer,"[Copywriter, Content Writer, Technical Writer, Content Strategist, Communications Specialist, Report Writer, Marketing Manager, Communications Manager, Content Specialist, ETL QA]","[Technical writing, Creative writing, Professional writing, English, Journalism]"
DevOps+Engineer,"[DevOps Engineer, DevOps, DevOps Consultant, Lead Engineer, AWS Engineer, Release Engineer, Site Reliability Engineer, Build Engineer, Architect, Platform Engineer]","[Puppet, Chef, Ansible, Jenkins, Amazon Web Services]"
DevOps+Jobs,"[DevOps Engineer, DevOps, DevOps Consultant, Lead Engineer, AWS Engineer, Release Engineer, Site Reliability Engineer, Build Engineer, Architect, Platform Engineer]","[Puppet, Chef, Ansible, Jenkins, Amazon Web Services]"
Digital+Program+Manager,"[Program Manager, IT Program Manager, Program Coordinator, Program Director, Program Analyst, Project Manager, Delivery Manager, IT Project Manager, Technical Project Manager, Business Project Manager]","[Project management, Program management office, IT program management, PMP, Project governance]"
Director+Business+Intelligence,"[BI Developer, BI Analyst, BI Consultant, BI Architect, SQL BI Developer, BI Manager, BI Lead, MSBI Developer, Report Developer, OBIEE Developer]","[Data warehouse, Data architecture, Data integration, Data marts, Data modeling]"
Director+Business+Systems,"[Business Systems Consultant, Business Analyst, Lead Business Analyst, IT Business Analyst, Systems Specialist, SAP Business Analyst, Systems Analyst, Salesforce Business Analyst, Systems Administrator, Systems Architect]","[Business process, Systems analysis, Process reengineering, Business analysis, Functional requirements]"
Director+Clinical+Applications,"[Software Architect, Software Systems Engineer, Software Development Manager, Software Sales, Software Quality Engineer, Director Software Development, Software Development Lead, Software Development, Software Development Project Manager, Asset Manager]","[Business requirements, Email, QA, Leadership, Software development]"
Director+Data,,
Director+Data+Management,"[Management Consultant, Data Manager, Data Architect, Data Analyst, Data Modeler, Management Analyst, Data Specialist, Data Engineer, Change Management Analyst, Data Quality Analyst]","[ETL, Data analysis, Data cleansing, Data modeling, Data governance]"
Director+Database,"[Database Developer, Database Architect, SQL Database Developer, Database Analyst, Oracle Database Developer, DBA, SQL DBA, Oracle DBA, SQL Server DBA, DB2 DBA]","[Database design, Database architecture, Data modeling, DBA, Database security]"
Director+Decision+Support,"[Support Analyst, Desktop Support, Support Engineer, Desktop Support Technician, Application Support, Scientist, Technical Support, PC Technician, Application Support Analyst, Desktop Support Analyst]","[Clinical data analysis, Multivariate analysis, CPOE, Epidemiology, CPLEX]"
Director+Enterprise+Systems,,
Director+Game,,
Director+Hardware,"[Hardware Engineer, Design Engineer, Configuration Technician, Desktop Support Analyst, Field Service Technician I, Desktop Support Technician, Field Service Technician II, Field Service Technician, Desktop Support, PC Technician]","[Operating systems, Networking, Software, Hardware management, Troubleshooting]"
Director+Information,,
Director+Information+Security,"[Cybersecurity Analyst, Cybersecurity Manager, Cybersecurity Engineer, Cybersecurity Consultant, Cybersecurity Architect, Cybersecurity Specialist, Security Analyst, IT Security Analyst, ISSO, Information Architect]","[Cyber security, IT security, Information assurance, Security analysis, Security policy]"
Director+IT,"[IT Project Manager, IT Business Analyst, IT Manager, IT Director, IT Auditor, IT Project Coordinator, IT Analyst, IT Specialist, IT Recruiter, IT Security Analyst]","[Recruitment, Consulting, IT service management, Leadership, Business requirements]"
Director+IT+Project,"[IT Project Manager, IT Business Analyst, IT Manager, IT Director, IT Auditor, IT Project Coordinator, IT Analyst, IT Specialist, IT Recruiter, IT Security Analyst]","[Recruitment, Consulting, IT service management, Leadership, Business requirements]"
Director+of+User+Experience,"[UX Designer, UI UX Designer, UX Researcher, UX Architect, UI UX Developer, UX Developer, Interaction Designer, Product Designer, Content Strategist, UI Designer]","[Interaction design, UI, CSS, Typography, User research]"
Director+Oracle,"[Oracle DBA, Oracle Developer, Oracle Database Developer, Oracle Apps DBA, Oracle PL SQL Developer, Oracle Application Developer, Oracle EBS Developer, Oracle SOA Developer, Oracle Apex Developer, SOA Administrator]","[PL/SQL, Oracle Developer, Oracle Applications, Toad, Database]"
Director+Oracle+Database,"[Oracle DBA, Oracle Developer, Oracle Database Developer, Oracle Apps DBA, Oracle PL SQL Developer, Oracle Application Developer, Oracle EBS Developer, Oracle SOA Developer, Oracle Apex Developer, SOA Administrator]","[PL/SQL, Oracle Developer, Oracle Applications, Toad, Database]"
Director+Software,"[Software Architect, Software Systems Engineer, Software Development Manager, Software Sales, Software Quality Engineer, Director Software Development, Software Development Lead, Software Development, Software Development Project Manager, Asset Manager]","[Business requirements, Email, QA, Leadership, Software development]"
Director+Software+Development,"[Software Development, Software Development Manager, Director Software Development, Software Development Lead, Software Development Project Manager, Developer III, Developer II, Developer I, Software Sales, Director]","[Software engineering, Software design, Software architecture, SDLC, Computer science]"
Director+Software+Quality+Assurance,"[Tester, QA Tester, QA Analyst, Automation Tester, Manual Tester, Software Tester, SQA Engineer, QA Engineer, Selenium Tester, QA Lead]","[Quality control, Automated testing, Functional testing, System testing, Manual testing]"
Director+Systems,,
Director+Telecommunications,"[Telecom Engineer, Telecom Analyst, Telecommunications Technician, Billing Analyst, Field Service Technician I, Construction Manager, Implementation Engineer, Field Service Technician II, VoIP Engineer, Configuration Technician]","[Cables, Wireless communication, Broadband, Telco, Telecommunications Technician]"
Director+Web,,
Domain+Architect,"[Architect, Java Architect, Solution Architect, Salesforce Architect, .Net Architect, Lead Architect, Big Data Architect, Enterprise Architect, UI Architect, SharePoint Architect]","[Architect, Implementation, Software architecture, Software design, Integration]"
EHR+Trainer,"[Implementation Specialist, Healthcare Business Analyst, Application Analyst, Report Writer, Application Specialist, Teacher, Healthcare Project Manager, Systems Specialist, Receptionist, Integration Analyst]","[HL7, Ambulatory care, Health informatics, CPOE, Health information exchange]"
Embedded+Software+Engineer,"[Embedded Developer, Embedded Engineer, Software Architect, Software Development, Firmware Engineer, Software Development Manager, Software Systems Engineer, Software Quality Engineer, Software Sales, Director Software Development]","[Embedded C, RTOS, Embedded C++, Embedded systems, VxWorks]"
Embedded+Software+Jobs,"[Embedded Developer, Embedded Engineer, Software Architect, Software Development, Firmware Engineer, Software Development Manager, Software Systems Engineer, Software Quality Engineer, Software Sales, Director Software Development]","[Embedded C, RTOS, Embedded C++, Embedded systems, VxWorks]"
EMR+Jobs,"[Implementation Manager, Director Product Management, Big Data Developer, Data Engineer, Implementation Specialist, Account Manager, Teacher, Cloud Engineer, Implementation Project Manager, Technical Specialist]","[EHR, Ambulatory care, Cerner, Epic, McKesson]"
EMR+Specialist,"[Implementation Manager, Director Product Management, Big Data Developer, Data Engineer, Implementation Specialist, Account Manager, Teacher, Cloud Engineer, Implementation Project Manager, Technical Specialist]","[EHR, Ambulatory care, Cerner, Epic, McKesson]"
Engineering+Programmer,"[Software Development, Software Development Manager, Director Software Development, Software Development Lead, Software Development Project Manager, Developer III, Developer II, Developer I, Software Sales, Director]","[Software engineering, Software design, Software architecture, SDLC, Computer science]"
Engineering+Systems+Analyst,"[Engineering Manager, Director Engineering, Engineering Technician, Engineer, DevOps Engineer, Service Engineer, Mechanical Design Engineer, Infrastructure Engineer, Solutions Engineer, Platform Engineer]","[Engineer, Email, Verification and validation, Compliance, QA]"
Enterprise+Architect,"[Enterprise Architect, Business Architect, IT Architect, Solution Architect, Integration Architect, SOA Architect, Infrastructure Architect, Systems Architect, Data Architect, Application Architect]","[TOGAF, Zachman Framework, DoDAF, Troux, Solution architecture]"
Enterprise+Data+Architect,"[Data Architect, Data Modeler, Big Data Architect, Datawarehouse Architect, Information Architect, BI Architect, Database Architect, ETL Architect, Hadoop Architect, Data Quality Analyst]","[Data modeling, ERwin, ETL, ETL architecture, Data governance]"
Enterprise+Engineer,"[Engineering Manager, Director Engineering, Engineering Technician, Engineer, DevOps Engineer, Service Engineer, Mechanical Design Engineer, Infrastructure Engineer, Solutions Engineer, Platform Engineer]","[Engineer, Email, Verification and validation, Compliance, QA]"
Enterprise+Systems+Manager,"[Management Analyst, Management Consultant, Change Management Analyst, Systems Administrator, Systems Engineer, Change Management Lead, Systems Analyst, Change Management Consultant, Linux System Administrator, Systems Architect]","[Network management, Physical-to-Virtual, Dell KACE, LAN, SATCOM]"
Epic+Analyst,"[Billing Analyst, Application Analyst, Teacher, Interface Engineer, Report Writer, Instructional Designer, Systems Analyst, Application Support Analyst, IT Analyst, Application Manager]","[Ambulatory care, CPOE, Health information management, McKesson, EHR]"
