,required_skills,job_title
1033,"apache, applications, development, java, management, materials, metrics, project management, quality, software, system, systems, web",java developer
1039,"data architect, olap, data warehouse, sql",data scientist
1054,"java, architect, tdd, core, microservices, hibernate, jenkins, jboss, scala, groovy, mongo db, cloud foundry, openshift",java developer
1058,"analysis, analytical, application, applications, c#, clearcase, database, development, disaster recovery, http, java, javascript, lifecycle, oracle, security, software, sql, system, systems, test, unix, user interface, web, windows",java developer
1069,"java , hadoop",java developer
1081,"java, j2ee, node.js",java developer
1087,"ada, analysis, architecture, clearcase, development, fortran, hardware, linux, release, security, simulation, system architecture, unix, vmware",software engineer
1100,".net, asp, asp.net, c#, development, lifecycle",software engineer
1104,"agile, analysis, application servers, architecture, db2, development, encryption, foundation, git, html, http, ide, j2ee, java, javascript, jsp, linux, management, middleware, nosql, object oriented design, oracle, protocols, soap, sql, svn, tivoli, unix, version control, wsdl, xml",software engineer
1110,"c++, c#, linux, tcp, ip, udp",software engineer
1131,"java , j2ee, spring mvc, hibernate, sql, soap, rest",java developer
1148,"hibernate, java, oracle, sql, jee",software engineer
1162,"database, db2, j2ee, java, management, oracle, security, sybase, xml",software engineer
1163,"apache, architecture, database, db2, development, hardware, html, http, ide, j2ee, java, javascript, jdbc, jsp, linux, mysql, mysql, object oriented design, oracle, protocols, soap, sql, svn, sybase, uml, unix, version control, wireless, xml",software engineer
1189,"java, jms, aws, oracle, angularjs, javascript",java developer
1204,"agile, angularjs, database, development, ejb, hardware, j2ee, java, javascript, jquery, jsp, management, oracle, project management, quality assurance, sql, sql server, unix, websphere",java developer
1219,"sso, saml, php, symfony, sql, mysql, bootstrap, java, script, jquery, java, oracle, python, git, perl",software engineer
1248,"core java, servlets, jdbc, ejb, html, dhtml, css, javascript, ajax, xml, struts, hibernate, ajax, sql server",java developer
1254,"sql, xml, css, javascript, tsql, xslt, c, c++, visual basic",data scientist
1278,"ado.net, c#, html, javascript , xml",software engineer
1281,"esri, gis, perl, python, visio, data management",data scientist
1282,"architecture, c++, database, development, j2ee, java, ood, oracle, protocol, sdlc, security, soap, sql, tcp, ip, windows, xml",software engineer
1290,"api development, soa, java, j2ee, web services, object oriented design",java developer
1310,"algorithm, analysis, analytical",software engineer
1326,"j2ee, web services, jquery, javascript, html, angular.js, spring mvc",software engineer
1348,"algorithms, analysis, development, fortran, hardware, security, simulation",software engineer
1366,"java, sql, nosql, websphere, python, cloud, sql, sdlc",software engineer
1414,"java , devops",java developer
1415,"c++, development, linux, management, protocols, python, scripts, sql, unix, version control, vmware",software engineer
1421,".net, c#, asp.net mvc, web services, sql server",software engineer
1424,"java, scala, python, spark, cass, ra, elasticsearch, rdbms, sql",software engineer
1434,"java, sql, agile",java developer
1441,"restful, java, websphere, jboss, oracle, javascript, html5, css, integration",software engineer
1459,"java, core java, risk",java developer
1462,"algorithms, architecture, development, java, linux, unix, ups",software engineer
1463,"agile, algorithms, analysis, architecture, management, sales, unix",software engineer
1473,"java, j2ee, pl, mq, perl, weblogic",java developer
1475,".net, c#, rdbms, nosql, windows",software engineer
1487,"analysis, automated, development, java, matlab, perl, python, validation",data scientist
1507,"capital market, mq, deploy, administration, support",software engineer
1512,"core java, core, java, svn, bamboo, jms, mq",java developer
1521,"c++, linux",software engineer
1537,"agile, algorithms, analysis, angularjs, architecture, css, html, java, javascript, jquery, management, perl, python, sales, scrum, soap, unix",software engineer
1538,"agile, spark, flume, hadoop, mapreduce",software engineer
1555,"java, j2ee, mvc, mongodb, cass, mariadb",java developer
1573,"c++, unix, algorithms, analytics",software engineer
1580,"agile, ajax, automated, development, ecommerce, java, javascript, linux, management, oracle, pl, sql, qa, sql, unix",software engineer
1591,"algorithm, analysis, development, e, commerce, java, javascript, linux, management, nosql",software engineer
1594,"jee, collections",java developer
1618,"sql, ruby on rails, python, angularjs",java developer
1629,"java, sql, agile, sybase, db2, .net",java developer
1654,"core java, jee",software engineer
1659,"core java, j2ee",java developer
1666,"ios, swift",software engineer
1682,python,software engineer
1723,"java, big data",software engineer
1731,"algorithm, algorithms, development, management",data scientist
1742,"xml, json, html, css, jquery, ajax, soap",software engineer
1771,"c#, 4, jquery",software engineer
1786,"javascript, node.js, mongodb, postgresql, angular.js, html5, css3, java",software engineer
1787,"java, oracle soa",java developer
1789,data warehouse,data scientist
1797,"javascript, ui, html5, linux",java developer
1798,"c++, c#, java, debug, ood, windows, embedded, pc, rtos, linux",software engineer
1800,"h, jdbc",java developer
1830,"core java, soa, web services, rest",java developer
1840,"sql server, visual basic, sdlc, ab initio",software engineer
1849,"javascript, ui, angularjs, html, ui, ux",java developer
1868,"j2ee, rest, api, angular.js, javascript, html5",java developer
1874,"core java, xml, jms, hibernate, oracle , sybase",java developer
1877,"linux, python, soa, aws, rest",software engineer
1901,maintece,data scientist
1902,"java, sql",software engineer
1907,"java, core java, jms, agile",java developer
1909,"j2ee, hibernate, spa",java developer
1916,"weblogic, j2ee, oracle , sql",java developer
1917,"scala, aws, restful, java",software engineer
1921,"j2ee, spring , hibernate , core java",java developer
1923,"java development, web services",java developer
1928,tcp,software engineer
1945,"java, sql, capital markets",java developer
1952,data,data scientist
1971,java,java developer
1974,"hibernate, jsf, jsp, servlets, sql, plsql",java developer
1976,"e, fixed income, mq",java developer
1982,"ssis, ssrs, tsql, stored procedures, etl, data warehouse, agile",data scientist
2002,"c++, c#, c, debug, embedded, pc, rtos, linux",software engineer
2004,"jira, continuous integration, agile development, mysql, unix, design patterns, jenkins, grunt, git, github",software engineer
2009,"java, spring mvc, angularjs",java developer
2016,"java, rest, aws",software engineer
2045,"j2ee, web services",java developer
2046,design,java developer
2054,"fixed income, core java, data structures, collections, oop, framework, xml, xsd, capital markets",java developer
2055,"spring boot, hibernate, jdbc, jms",java developer
2057,"java, ficial services",java developer
2064,devops,software engineer
2076,"java , python",java developer
2104,"java, oracle, bpm, javascript",java developer
2123,"java, nodejs",java developer
2145,"java, angular js, javascript, jquery, html, css",java developer
2149,"java, spring framework, rest web services, node",java developer
2155,"java, big data, hadoop",software engineer
2167,"lead, restful, json, xml, j2ee",java developer
2169,"go, python",software engineer
2176,web,software engineer
2188,"java, trading systems",java developer
2189,"python, r, matlab, vba, spark, hadoop, mysql, ms excel, vba, ms sql",data scientist
2194,"bigdata, hive",data scientist
2198,"java, software development",java developer
2208,"data science, statistics, r, perl, python",data scientist
2221,"javascript, web services",java developer
2244,"php, css, javascript, html",software engineer
2246,"react, angular js, bootstrap, agile development, mysql, unix, design patterns, html, css, javascript, php",software engineer
2269,"core java, design patterns",java developer
2270,"java, capital markets",java developer
2277,"java, j2ee",java developer
2290,"dynatrace, sql, java, jsp, servlets, jee, hibernate",java developer
2291,"big data, nosql, java, python, scala",software engineer
2305,"java, rest api, hadoop, spark, hive, pig",java developer
2307,"ccie, wan, tcp, ip, eigrp, bgp, ospf, 4g",data scientist
2319,"java, j2ee, oracle, maven, agile",java developer
2323,"c#, .net",software engineer
2324,"java, j2ee, javascript, full stack",java developer
2331,"java, hibernate, maven, rest, ajax, oracle, db2, postgresql, ms sql, mysql, xml, jpa, tomcat, oracle, json",java developer
2339,"java, j2ee, hibernate",java developer
2343,"java, web",java developer
2352,"data, data quality",data scientist
2401,"web applications, node, react",software engineer
2402,"java, j2ee, core java, rest, sql",java developer
2427,"oracle, sql, hive, hadoop, r, python, statistical analysis",data scientist
2449,"java, javascript, http, tcp, ip, web api, rest, visual studio, tfs, uft",java developer
2461,"core java, hibernate, jsf, jms, mq",java developer
2488,"data quality, sql",data scientist
2572,"java, extjs, html5, ajax, spring mvc",java developer
2587,"j2ee , servlet, web services, xml, xslt",java developer
2638,"api, c++, development, python, software",software engineer
2644,"c#, python, javascript, core, data, kubernetes, ansible, chef, puppet, go, c , c++, agile , tdd, azure, cloud foundry",software engineer
2668,"architecture, automated, case, development, j2ee, java, nosql, php, soap, uml, video",software engineer
2676,"c, c++, python, cloud security, cloud architecture, golang, security, cyber security, security, big data",software engineer
2688,design,software engineer
2691,"web services, database",software engineer
2692,"css, json, ajax, servlet, jsp, tomcat, apache, linux, java, javascript, python, perl",java developer
2718,"agile, algorithms, architecture, development, e, commerce, java, management, object oriented design, security, supervision",java developer
2724,"java, mongodb",java developer
2728,"agile, java, mysql, mysql, nosql, ruby, sql",software engineer
2753,c++,java developer
2756,java,software engineer
2766,"data, azure",data scientist
2797,"algorithm, analysis, c++, development, java, management, release, ruby, security",software engineer
2809,"architecture, automated, business intelligence, case, data warehouse, javascript, nosql, php, soap, uml",software engineer
2823,"java, angularjs, css, javascript",software engineer
2825,"analysis, automotive, development, embedded, embedded software, matlab, protocols, security, simulation, validation",software engineer
2834,"java, j2ee, ood, hibernate, eclipse, jquery, angular, html, apache",java developer
2835,"agile, algorithms, analytical",software engineer
2842,"algorithms, analysis, automated, data analysis, development, management, metrics, sql, supply chain",data scientist
2845,"java, javascript, angularjs",java developer
2855,"algorithm, analysis, development, e, commerce, java, javascript, jquery, management, perl, qa, release, security",software engineer
2859,"rest, java, maven, hibernate, splunk, jenkins",java developer
2864,"analysis, case, development, embedded, embedded software, hardware, linux, test plan, video, windows",software engineer
2886,"java, c++, cloud, linux, unix",software engineer
2893,"ruby, javascript, python, angular",software engineer
2896,"client, cloud, os, account management, technical, business acumen, based",software engineer
2911,"java, ruby, python, c++, c#, chef, puppet, java, ruby, python, c++, c#, chef, puppet, ansible",software engineer
2914,"data structures, algorithms, distributed systems, java, c#, scala, jvm, cass, ra, dynamodb",software engineer
2915,"java, javascript, html, css",java developer
2930,"rest api, object, java",java developer
2940,"e, commerce, ecommerce, java, j2ee, websphere, atg, hybris, portal, telecom, rest, b2b, b2c",java developer
2941,"api, automated, development, diagnostic, java, javascript, libraries, management, perl, python, ruby, scripts, supervision",software engineer
2951,"scala, python, java, backend, hadoop, mobile",software engineer
2955,"ux, ui, angular.js, javascript, node.js, html, css, data, sql, olap, aws",software engineer
2959,"unix, tcp, ip",software engineer
2960,"c#, azure",software engineer
2969,"sas, sap, r, hadoop, spark, python, sas, sap, r, hadoop, spark, python",data scientist
2971,"animation, architecture, data collection, http, ios, lifecycle, specification",software engineer
2983,"c#, java",software engineer
2988,"java , e, hybris",java developer
3000,"hadoop, hive, impala",software engineer
3010,tx,software engineer
3012,"c#, .net, dba",software engineer
3013,javascript,software engineer
3018,algorithms,data scientist
3019,"java, linux, distributed systems",software engineer
3029,"javascript, java, web development, saas, mysql, nosql",java developer
3032,"c, c++, computer vision, rtos",software engineer
3039,"javascript, full stack, node.js, java, c#, c++",software engineer
3051,"c, c++, graphics, vr, virtual reality, ios, roid",software engineer
3059,"c# , .net , asp.net mvc",software engineer
3063,"roid, data collection, http, java, lifecycle, specification",software engineer
3068,"c++, c#, user interface, python , c++, c#, user interface, python",software engineer
3075,"js, css",java developer
3098,c#,software engineer
3112,"development, java",java developer
3123,"java, web services, api",software engineer
3129,"php, javascript, sql, python, c#, gui, php, javascript, sql, python, c#, gui, microcontrollers",software engineer
3132,"c, c++, java, c#, sql, nosql, video, audio, services",software engineer
3147,"java, rest services",software engineer
3148,"java, ecommerce, html5, javascript, css, ajax",java developer
3149,"python, ruby, javascript, django, node.js, html, css, aws, mysql, postgresql",software engineer
3150,"html, css, javascript, c, c++, c#, .net, asp.net, asp.net mvc, linq, html, css, html, css, javascript, c, c++, c#, .net, asp.net, asp.net mvc, linq, html, css, mvvm",software engineer
3160,"ios, roid, management",software engineer
3163,"data, analytics, aws, ec2, emr, lambda, redshift, java, scala, python, sql, oop, distributed systems, algorithms, statistics, sdlc",software engineer
3165,hadoop,java developer
3176,"perl, linux, lamp, mysql, css, javascript, perl, linux, lamp, mysql, css, javascript, php",software engineer
3177,"java, html5, css, angular",java developer
3186,"servicenow, data visualization, angular, node, javascript, html, css, java, .net, aws, big data, services, database, data analysis",software engineer
3193,"c++, javascript, jquery, angular, c#, c++, javascript, jquery, angular, c#, mvc",software engineer
3198,"big data, aws, hadoop, hive, map reduce, real, time, spark, storm, java, python, kafka, data analytics, iot",software engineer
3216,"c++, ood",software engineer
3218,"java, roid",software engineer
3222,"java, j2ee, hibernate, rest, e, commerce",java developer
3230,"java, j2ee, rest, json, cloud, agile",java developer
3243,"saas, java, hadoop, linux",software engineer
3251,"powershell, object oriented design, restful, web service, windows server",software engineer
3253,"configuration management, database, development, http, linux, management, mysql, mysql, postgresql, python, sql, tcp, ip",software engineer
3257,core java,java developer
3280,"java, go, spark, kubernetes, redis",software engineer
3292,"php, javascript, html",software engineer
3296,"javascript, html5, css3, angular, web, ui",software engineer
3307,"java, hadoop, mongo",software engineer
3310,"java, perl, shell",java developer
3323,microsoft sql,data scientist
3329,"java, oop, unix, linux, maven, ood",java developer
3332,"agile, sql, c#, java, python",software engineer
3336,"javascript, html5, css3, angular",software engineer
3340,"multi, design patterns",java developer
3344,"java, javascript, sql server, oracle",java developer
3357,".net, c#, mvc, asp.net, lambda, sql server, html5, css3, client, jquery",software engineer
3360,"java, linux, python, mysql, git",software engineer
3361,"architecture, development, http, system architecture",software engineer
3366,java,software engineer
3370,"c#, sql, javascript, jquery, python, git , c#, sql, javascript, jquery, python, git",software engineer
3384,"java, angularjs, javascript, jquery, css, html, mysql",software engineer
3386,"java, agile, scrum, tdd",java developer
3389,"c#, python, tfs, jira",software engineer
3391,"node.js, angular, node.js",java developer
3397,"sql, etl, data analysis",data scientist
3401,"c, c++, c#, visual studio",software engineer
3409,"java, restful web services, azure",java developer
3430,"agile, angularjs, c#, database, development, edi, http, java, microstrategy, mobile development, mongodb, qa, security, supply chain",java developer
3464,"java, html5, javascript, css",software engineer
3466,jms,java developer
3484,stored procedures,data scientist
3496,"java ee, ejb, jsf",java developer
3509,"r, python, spss, sas",data scientist
3590,"cisco, development, excel, hardware, oracle, powerpoint, sun, technician, unix, windows",data scientist
3601,"core java, weblogic, j2ee, oracle, sql",java developer
3623,".net, agile, analysis, asp, asp.net, c#, change management, development, java, lifecycle, management, project management, scrum, sql, sql server, telecom, vb, windows, xml",software engineer
3636,"soap, servlets, json, xml",software engineer
3643,"java, j2ee, ui",java developer
3683,"java, j2ee, jsp, jsf, struts, junit, jpa, orm, sql, dhtml, ajax, html, servlets, xml, xsl, css, hibernate, linux, web services, jdbc",java developer
3712,r,data scientist
3780,"agile, apache, development, foundation, hadoop, java, management, python, release, ruby, solr",software engineer
3786,".net, asp, asp.net, c#, crystal reports, css, development, javascript, oracle, sql, sql server, vb, windows, xml",software engineer
3800,"java, angular js, web services, agile, j2ee, rest, spring , spring boot",java developer
3802,"agile, development, javascript, lifecycle, management, ood, project management, ruby",software engineer
3805,"java, hibernate, rest",java developer
3807,"java, j2ee, struts, hibernate",java developer
3828,"java, bigdata, scala, spark",data scientist
3834,javascript,java developer
3845,roid,software engineer
3851,"java, linux, eclipse, sql",java developer
3875,".net, analysis, architecture, asp, asp.net, c#, css, database, development, html, javascript, jquery, release, sql, sql server, visual basic",software engineer
3879,"java, oop, sql, linux",java developer
3882,"java, j2ee, oracle 12c",java developer
3885,"java, java script, html5",java developer
3886,"architecture, development, iterative, iterative development, java, management, qa",java developer
3893,"java, html, css, scrum, agile, c#, nosql, git , java, html, css, scrum, agile, c#, nosql, git",software engineer
3898,"spark, hadoop, python, mongodb, spark, hadoop, python, mongodb, sql",data scientist
3906,"qt, matlab, 2d, 3d, c++, python",software engineer
3912,"hadoop, nosql, xml",java developer
3922,"algorithms, apache, cgi, css, database, development, git, html, http, ide, java, javascript, jenkins, libraries, linux, mongodb, mysql, mysql, nosql, oracle, security, soap, tdd, telecom, telecommunications, unix, xml",java developer
3946,"javascript , j2ee",java developer
3957,"java, javascript, j2ee, sql, java, javascript, j2ee, sql, apache",java developer
3960,"agile, apache, development, foundation, hadoop, java, solr",software engineer
3961,"java, angularjs, ui",java developer
3992,hibernate,java developer
4000,"java, restful, tdd",java developer
4007,"cloud, agile, java, jvm, restful, sdlc, high availability, dr, replication, c#, c++, scala, go, clojure, apache, node.js, hbase, kafka, solr, aws, azure, heroku",software engineer
4012,"degree, excel",data scientist
4048,"java, agile, agile methodology, full stack",java developer
4049,"java, oracle, unix, linux",java developer
4056,"java, javascript",java developer
4061,"roid, automotive, development, e, commerce, iterative, iterative development, java, oop",software engineer
4062,"java, cloud, angular, degree",java developer
4066,"java, c#, php, javascript, node, angular, react",software engineer
4067,"agile, software development",software engineer
4078,"java, j2ee, web services",java developer
4084,".net, analysis, architecture, asp, database, development, hardware, http, isp, java, management, mysql, mysql, oracle, quality assurance, salesforce, siebel, sql, supervision, unix, validation, webmethods, windows",software engineer
4111,"akka, kafka, storm, hadoop, sql, nosql",software engineer
4114,".net, agile, asp, asp.net, automotive, css, development, e, commerce, html, http, iterative, iterative development, javascript, jquery, management, scrum, sql, sql server",software engineer
4128,"java, c++, oracle, linux, websphere, jboss",java developer
4142,"hive, pig, mysql, postgres, hadoop, mapreduce, spark, python, java, scala",data scientist
4145,"java, hibernate, linux, jenkins, git",java developer
4147,"degree, java, jsp, spring mvc",java developer
4178,"ruby, javascript",software engineer
4185,"power bi, azure, data warehouse, architect, microsoft, ssas, .net",data scientist
4193,"java, angularjs, aws, google cloud",java developer
4195,"java, nosql, hadoop, algorithms, akka",software engineer
4218,"java , j2ee, restful services, mobile",java developer
4222,"java, j2ee",java developer
4227,"asp.net mvc, c#, javascript, web services, wcf",software engineer
4245,"php, magento, apache, git",software engineer
4247,restful services,java developer
4256,"java, integration, system, performance",java developer
4276,"angular, typescript, amazon web services, javascript",software engineer
4325,"java, sql",java developer
4328,"ejb, jsf, hibernate",java developer
4330,"java, hadoop, cloud",java developer
4331,"c++, windows, linux, c",software engineer
4339,"core java, j2ee, soap, soa",java developer
4340,"java, asp.net",software engineer
4347,"java, aws, devops, ec2, cloud",software engineer
4351,"sql, hive, python, r, tableau, excel, big data",data scientist
4354,"java, spring mvc, web services, javascript",java developer
4357,"java, microservices, aws, google cloud, apache, junit",java developer
4361,"java, javascript, sql",java developer
4362,"java, spring mvc, rest, javascript",java developer
4364,"analysis, application servers, automotive, browsers, development, diagnostic, hardware, http, java, jenkins, linux, networks, security, tcp, ip, unix",software engineer
4374,"java, development",java developer
4378,a,data scientist
4379,"javascript, mongo, angular, node, css3, html5",software engineer
4381,"tableau, sql, design, development, application, software",data scientist
4387,"java, perl, script, unix",java developer
4402,"java, j2ee, html, css, jsp, struts, jsf, uml, ooad, multi, development, linux, web services",java developer
4404,"software development, dev ops, devops, cloud, ruby, hadoop, java, c#",software engineer
4424,"c, c++, real, mobile",software engineer
4428,"java, j2ee, uml, struts, agile",java developer
4431,"rails, ruby",software engineer
4448,"sql, oracle, mysql, mongo db, unix, bash, perl, tcp, ip, snmp",software engineer
4452,"java, angular js",java developer
4461,"sql, xml, orm",java developer
4462,"python, java, django, tomcat, apache",software engineer
4469,"java, hibernate, web services",java developer
4503,"h, hibernate",java developer
4504,"data warehouse, etl, java, postgresql",data scientist
4515,"linux, unix, junit",java developer
4517,"java, full stack",java developer
4536,"java, hibernate",java developer
4561,"java, rest, apis, integration",java developer
4573,"communication, microsoft, c#, asp.net, wcf, mvc, vb, web, javascript, css, html, ajax, ms sql server, tsql, sql, agile, saas",software engineer
4596,"eclipse, java, jpa, json, hibernate, jdbc, svn, jboss, oracle",java developer
4602,"java, javascript, html, css, jsp, struts, jsf, uml, ooad, web services",java developer
4623,"agile, ajax, angularjs, bash, database, development, ejb, hardware, http, java, javascript, jquery, linux, management, mathematical, mysql, mysql, nosql, oracle, perl, python, scrum, security, unix, windows, wireless",software engineer
4630,"architecture, development, http, java, physics, ruby, security",software engineer
4641,"java, .net, j2ee, web services",java developer
4642,"java, management",java developer
4646,"agile, ajax, angularjs, application servers, css, database, development, html, java, javascript, jquery, libraries, management, object oriented design, oracle, scrum, soap, sql, ups, user interface, websphere",java developer
4652,"analysis, analytical, analytical",data scientist
4663,"agile, analysis, architecture, business requirements, cms, development, ejb, iterative, iterative development, j2ee, java, scrum, security, soap, sql, system architecture, uml, xml",java developer
4670,".net, analysis, angularjs, asp, asp.net, c#, css, database, development, html, javascript, jquery, mobile application development, object oriented design, oop, xml",software engineer
4672,"java, sql, oracle, sdlc",java developer
4676,"agile, c#, development, http, security, unix, windows",software engineer
4694,"analysis, roid, architecture, cryptography, development, encryption, http, ios, java, linux, mobile development, protocol, protocols, security, vmware, vpn, windows",software engineer
4731,"agile, analysis, data analysis, database, development, http, lifecycle, management, oracle, qa, scrum, sql, statistical analysis, subversion",data scientist
4741,"agile, analysis, development, hardware, http, ide, java, javascript, linux, mathematical, security",software engineer
4746,"clearcase, database, development, git, j2ee, java, jenkins, lifecycle, middleware, oracle, shell script, sql, sql server, sybase, unix, xml",java developer
4756,"struts, core java, spring mvc, hibernate , jsf, jsp",java developer
4757,"agile, algorithm, algorithms, analysis, apache, development, fortran, git, java, jenkins, libraries, linux, management, mathematical, perl, physics, postgresql, protocols, python, scientific, scripts, shell script, soap, statistical analysis, svn, unix, validation, version control, web server, xml",data scientist
